,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,452,1993-94,00,1610612749,MIL,22.0,82,63,2560.0,435,869,0.501,1,5,0.2,234,411,0.569,277,344,621,163,60,114,162,231,1105
1,452,1994-95,00,1610612749,MIL,23.0,82,82,3361.0,594,1229,0.483,7,24,0.292,256,432,0.593,289,557,846,296,86,116,221,277,1451
2,452,1995-96,00,1610612749,MIL,24.0,82,82,3319.0,699,1429,0.489,10,48,0.208,321,479,0.67,263,545,808,212,68,91,216,272,1729
3,452,1996-97,00,1610612749,MIL,25.0,78,78,3156.0,632,1251,0.505,15,54,0.278,358,521,0.687,267,537,804,211,81,112,245,275,1637
4,452,1997-98,00,1610612760,SEA,26.0,82,82,2944.0,631,1164,0.542,1,7,0.143,311,526,0.591,286,370,656,152,91,86,174,278,1574
5,452,1998-99,00,1610612760,SEA,27.0,34,31,1162.0,198,437,0.453,0,3,0.0,72,160,0.45,86,125,211,56,32,34,76,121,468
6,452,1999-00,00,1610612760,SEA,28.0,79,75,2849.0,514,1129,0.455,2,8,0.25,281,412,0.682,227,378,605,148,47,66,213,288,1311
7,452,2000-01,00,1610612760,SEA,29.0,76,27,2129.0,347,822,0.422,1,16,0.063,232,321,0.723,179,251,430,90,38,73,158,264,927
8,452,2001-02,00,1610612760,SEA,30.0,55,41,1710.0,315,649,0.485,1,8,0.125,143,226,0.633,168,182,350,72,22,36,127,197,774
9,452,2002-03,00,1610612738,BOS,31.0,52,9,942.0,99,207,0.478,0,4,0.0,72,107,0.673,90,108,198,29,22,30,61,146,270
10,452,2003-04,00,1610612738,BOS,32.0,37,33,1000.0,168,333,0.505,0,1,0.0,82,112,0.732,76,134,210,54,22,23,52,98,418
11,452,2003-04,00,1610612752,NYK,32.0,17,0,313.0,40,99,0.404,1,2,0.5,32,45,0.711,36,34,70,12,7,9,25,62,113
12,452,2003-04,00,0,TOT,32.0,54,33,1316.0,208,432,0.481,1,3,0.333,114,157,0.726,112,168,280,66,29,32,77,160,531
13,452,2004-05,00,1610612752,NYK,33.0,24,0,191.0,13,38,0.342,0,1,0.0,7,15,0.467,17,20,37,9,2,4,15,31,33
14,452,2004-05,00,1610612745,HOU,33.0,3,0,13.0,0,4,0.0,0,0,0.0,2,2,1.0,0,2,2,1,0,0,2,7,2
15,452,2004-05,00,0,TOT,33.0,27,0,191.0,13,42,0.31,0,1,0.0,9,17,0.529,17,22,39,10,2,4,17,38,35
16,452,2005-06,00,1610612746,LAC,34.0,8,1,85.0,7,15,0.467,0,0,0.0,13,18,0.722,2,17,19,4,4,4,9,13,27
