,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,393,1988-89,00,1610612752,NYK,22.0,81,10,1358.0,265,567,0.467,19,59,0.322,172,231,0.745,51,109,160,319,98,3,148,142,721
1,393,1989-90,00,1610612752,NYK,23.0,51,0,1019.0,170,386,0.44,6,21,0.286,83,130,0.638,43,83,126,219,70,8,85,71,429
2,393,1989-90,00,1610612759,SAN,23.0,31,24,1121.0,173,370,0.468,2,9,0.222,91,148,0.615,47,86,133,249,57,6,85,89,439
3,393,1989-90,00,0,TOT,23.0,82,24,2140.0,343,756,0.454,8,30,0.267,174,278,0.626,90,169,259,468,127,14,170,160,868
4,393,1990-91,00,1610612759,SAN,24.0,58,56,2076.0,314,651,0.482,11,33,0.333,161,211,0.763,57,162,219,463,117,11,156,125,800
5,393,1991-92,00,1610612759,SAN,25.0,57,54,2053.0,300,659,0.455,5,15,0.333,182,265,0.687,92,173,265,491,118,17,160,122,787
6,393,1992-93,00,1610612757,POR,26.0,78,35,2474.0,396,816,0.485,4,30,0.133,273,381,0.717,120,217,337,559,131,24,199,153,1069
7,393,1993-94,00,1610612757,POR,27.0,82,58,2889.0,528,1093,0.483,2,10,0.2,353,471,0.749,122,248,370,740,147,24,257,171,1411
8,393,1994-95,00,1610612757,POR,28.0,64,61,2267.0,441,946,0.466,46,123,0.374,283,380,0.745,73,244,317,562,123,9,209,118,1211
9,393,1995-96,00,1610612757,POR,29.0,67,63,2526.0,471,1023,0.46,38,111,0.342,276,423,0.652,89,208,297,640,97,16,255,135,1256
10,393,1996-97,00,1610612764,WAS,30.0,82,81,3002.0,515,1105,0.466,13,77,0.169,367,497,0.738,95,240,335,727,143,14,270,166,1410
11,393,1997-98,00,1610612764,WAS,31.0,76,76,3020.0,490,1130,0.434,12,48,0.25,357,492,0.726,112,293,405,801,126,25,266,182,1349
12,393,1998-99,00,1610612764,WAS,32.0,44,43,1632.0,251,603,0.416,12,42,0.286,176,236,0.746,56,156,212,434,76,5,142,91,690
13,393,1999-00,00,1610612764,WAS,33.0,69,67,2188.0,327,762,0.429,1,21,0.048,214,305,0.702,73,186,259,519,94,18,187,147,869
14,393,2000-01,00,1610612764,WAS,34.0,33,28,1020.0,141,331,0.426,4,16,0.25,115,147,0.782,25,80,105,231,43,4,83,55,401
15,393,2000-01,00,1610612757,POR,34.0,21,0,353.0,41,98,0.418,0,1,0.0,15,26,0.577,11,24,35,72,10,1,24,21,97
16,393,2000-01,00,0,TOT,34.0,54,28,1372.0,182,429,0.424,4,17,0.235,130,173,0.751,36,104,140,303,53,5,107,76,498
17,393,2001-02,00,1610612748,MIA,35.0,76,64,2291.0,316,714,0.443,8,26,0.308,154,201,0.766,49,183,232,463,82,11,159,114,794
18,393,2002-03,00,1610612750,MIN,36.0,47,8,956.0,120,278,0.432,1,11,0.091,79,107,0.738,20,75,95,215,46,6,76,55,320
19,393,2003-04,00,1610612753,ORL,37.0,46,9,915.0,122,269,0.454,10,33,0.303,57,76,0.75,24,94,118,185,27,7,67,59,311
20,393,2003-04,00,1610612761,TOR,37.0,15,1,282.0,28,84,0.333,0,3,0.0,15,22,0.682,10,27,37,59,8,4,18,17,71
21,393,2003-04,00,0,TOT,37.0,61,10,1197.0,150,353,0.425,10,36,0.278,72,98,0.735,34,121,155,244,35,11,85,76,382
22,393,2004-05,00,1610612745,HOU,38.0,16,2,195.0,9,43,0.209,1,2,0.5,9,10,0.9,3,24,27,39,3,2,16,15,28
