,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,202952,2011-12,00,1610612759,SAS,23.0,3,0,15.0,0,3,0.0,0,0,0.0,1,2,0.5,1,2,3,1,1,1,0,0,1
1,202952,2012-13,00,1610612744,GSW,24.0,5,0,21.0,0,1,0.0,0,0,0.0,3,4,0.75,0,5,5,2,0,1,1,1,3
2,202952,2012-13,00,1610612741,CHI,24.0,7,0,36.0,5,9,0.556,0,0,0.0,2,4,0.5,5,6,11,2,2,1,2,7,12
3,202952,2012-13,00,0,TOT,24.0,12,0,57.0,5,10,0.5,0,0,0.0,5,8,0.625,5,11,16,4,2,2,3,8,15
4,202952,2013-14,00,1610612759,SAS,25.0,1,0,15.0,1,4,0.25,0,0,0.0,0,2,0.0,1,8,9,0,0,2,1,0,2
5,202952,2013-14,00,1610612762,UTA,25.0,7,0,48.0,6,12,0.5,1,4,0.25,0,0,0.0,4,8,12,2,0,1,8,5,13
6,202952,2013-14,00,0,TOT,25.0,8,0,63.0,7,16,0.438,1,4,0.25,0,2,0.0,5,16,21,2,0,3,9,5,15
7,202952,2014-15,00,1610612755,PHI,26.0,17,0,194.0,18,40,0.45,0,7,0.0,9,13,0.692,16,40,56,7,3,1,13,17,45
