,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,82,1985-86,00,1610612742,DAL,23.0,56,3,562.0,72,153,0.471,0,4,0.0,45,62,0.726,32,100,132,21,11,22,21,83,189
1,82,1986-87,00,1610612742,DAL,24.0,58,0,560.0,56,132,0.424,0,2,0.0,45,60,0.75,53,76,129,24,13,10,39,95,157
2,82,1987-88,00,1610612742,DAL,25.0,30,0,125.0,25,49,0.51,1,2,0.5,12,19,0.632,14,25,39,4,5,9,9,33,63
3,82,1988-89,00,1610612742,DAL,26.0,65,9,1074.0,119,275,0.433,1,9,0.111,61,82,0.744,82,204,286,46,16,35,54,211,300
4,82,1989-90,00,1610612742,DAL,27.0,60,2,814.0,105,234,0.449,0,4,0.0,60,75,0.8,64,134,198,41,20,21,50,144,270
5,82,1990-91,00,1610612758,SAC,28.0,77,23,1455.0,181,415,0.436,1,5,0.2,74,94,0.787,101,239,340,69,46,59,51,230,437
6,82,1993-94,00,1610612741,CHI,31.0,76,0,1371.0,235,482,0.488,0,2,0.0,72,88,0.818,117,236,353,70,43,29,75,214,542
7,82,1994-95,00,1610612741,CHI,32.0,73,1,956.0,156,317,0.492,0,4,0.0,51,63,0.81,64,126,190,40,22,17,39,198,363
8,82,1995-96,00,1610612741,CHI,33.0,71,20,1065.0,169,343,0.493,1,1,1.0,37,43,0.86,58,116,174,46,21,16,37,171,376
9,82,1996-97,00,1610612741,CHI,34.0,61,19,781.0,118,237,0.498,0,2,0.0,44,53,0.83,46,83,129,41,10,11,31,132,280
10,82,1997-98,00,1610612741,CHI,35.0,48,8,467.0,75,172,0.436,0,0,0.0,17,21,0.81,32,48,80,19,4,5,16,77,167
11,82,1998-99,00,1610612741,CHI,36.0,38,3,451.0,62,178,0.348,1,1,1.0,18,22,0.818,20,59,79,18,13,12,17,79,143
12,82,1999-00,00,1610612758,SAC,37.0,7,0,57.0,6,19,0.316,0,0,0.0,2,2,1.0,5,14,19,1,2,2,1,13,14
