,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,353,1994-95,00,1610612753,ORL,27.0,3,0,8.0,3,8,0.375,2,6,0.333,2,2,1.0,1,0,1,3,1,0,1,3,10
1,353,1995-96,00,1610612753,ORL,28.0,13,0,41.0,16,32,0.5,6,12,0.5,4,4,1.0,0,2,2,5,6,0,6,4,42
2,353,1996-97,00,1610612753,ORL,29.0,67,0,1009.0,132,345,0.383,55,181,0.304,92,106,0.868,35,41,76,175,61,9,99,114,411
3,353,1997-98,00,1610612753,ORL,30.0,48,17,1236.0,156,380,0.411,25,68,0.368,105,123,0.854,65,94,159,236,58,5,112,96,442
4,353,1998-99,00,1610612753,ORL,31.0,50,15,1502.0,230,522,0.441,69,189,0.365,161,178,0.904,53,127,180,335,108,4,158,90,690
5,353,1999-00,00,1610612753,ORL,32.0,82,82,2590.0,484,1119,0.433,137,403,0.34,225,247,0.911,65,205,270,501,169,9,248,137,1330
6,353,2000-01,00,1610612753,ORL,33.0,75,75,2767.0,413,1002,0.412,143,403,0.355,220,249,0.884,94,249,343,524,135,13,200,155,1189
7,353,2001-02,00,1610612753,ORL,34.0,82,79,2733.0,347,828,0.419,139,398,0.349,182,205,0.888,83,236,319,453,157,10,175,166,1015
8,353,2002-03,00,1610612753,ORL,35.0,82,23,2349.0,263,643,0.409,78,232,0.336,165,188,0.878,91,204,295,323,135,13,160,167,769
9,353,2003-04,00,1610612740,NOH,36.0,79,22,2247.0,291,736,0.395,135,429,0.315,123,144,0.854,63,163,226,311,133,16,155,148,840
10,353,2004-05,00,1610612740,NOH,37.0,14,9,412.0,53,159,0.333,17,70,0.243,19,21,0.905,16,32,48,65,15,2,28,30,142
11,353,2004-05,00,1610612742,DAL,37.0,52,7,576.0,36,118,0.305,11,41,0.268,39,47,0.83,19,48,67,113,30,6,39,62,122
12,353,2004-05,00,0,TOT,37.0,66,16,989.0,89,277,0.321,28,111,0.252,58,68,0.853,35,80,115,178,45,8,67,92,264
13,353,2005-06,00,1610612742,DAL,38.0,62,2,622.0,43,128,0.336,11,48,0.229,33,42,0.786,18,63,81,86,27,3,58,71,130
14,353,2006-07,00,1610612754,IND,39.0,81,4,1275.0,156,377,0.414,72,214,0.336,73,93,0.785,34,101,135,191,70,6,76,102,457
15,353,2007-08,00,1610612751,NJN,40.0,50,2,549.0,40,110,0.364,23,69,0.333,20,30,0.667,17,50,67,73,28,2,41,53,123
