,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,210,1991-92,00,1610612739,CLE,22.0,82,9,1605.0,252,601,0.419,1,23,0.043,100,124,0.806,49,113,162,316,81,22,136,107,605
1,210,1992-93,00,1610612739,CLE,23.0,82,8,1622.0,297,621,0.478,13,42,0.31,118,143,0.825,37,142,179,302,79,27,107,122,725
2,210,1993-94,00,1610612739,CLE,24.0,73,10,1548.0,230,548,0.42,7,32,0.219,139,162,0.858,38,121,159,277,84,16,111,108,606
3,210,1994-95,00,1610612739,CLE,25.0,67,41,1961.0,341,762,0.448,48,121,0.397,159,186,0.855,35,151,186,363,107,14,144,118,889
4,210,1995-96,00,1610612739,CLE,26.0,75,75,2570.0,510,1096,0.465,91,235,0.387,338,381,0.887,47,201,248,487,132,33,142,146,1449
5,210,1996-97,00,1610612739,CLE,27.0,78,78,2867.0,575,1313,0.438,101,271,0.373,268,297,0.902,48,253,301,490,138,30,178,177,1519
6,210,1997-98,00,1610612749,MIL,28.0,50,48,1784.0,339,731,0.464,31,93,0.333,132,156,0.846,23,153,176,387,111,17,145,120,841
7,210,1998-99,00,1610612749,MIL,29.0,15,14,505.0,85,208,0.409,7,28,0.25,26,31,0.839,11,42,53,104,24,3,36,25,203
8,210,1998-99,00,1610612750,MIN,29.0,21,20,712.0,127,299,0.425,5,19,0.263,39,47,0.83,16,65,81,205,39,7,38,57,298
9,210,1998-99,00,0,TOT,29.0,36,34,1217.0,212,507,0.418,12,47,0.255,65,78,0.833,27,107,134,309,63,10,74,82,501
10,210,1999-00,00,1610612750,MIN,30.0,71,71,2587.0,486,1042,0.466,53,132,0.402,187,208,0.899,44,194,238,629,134,30,184,158,1212
11,210,2000-01,00,1610612750,MIN,31.0,78,78,2822.0,511,1134,0.451,33,91,0.363,195,224,0.871,60,238,298,583,161,21,155,138,1250
12,210,2001-02,00,1610612750,MIN,32.0,32,28,964.0,155,365,0.425,4,23,0.174,83,84,0.988,17,76,93,264,52,6,43,49,397
