,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,78387,1976-77,00,1610612757,POR,26.0,74,,1937.0,263,430,0.612,,,,239,284,0.842,75,127,202,247,128,15,,228,765
1,78387,1977-78,00,1610612757,POR,27.0,75,,1820.0,242,409,0.592,,,,183,234,0.782,36,98,134,244,107,4,158.0,186,667
2,78387,1978-79,00,1610612757,POR,28.0,64,,1570.0,203,381,0.533,,,,261,299,0.873,39,80,119,176,84,4,127.0,185,667
3,78387,1979-80,00,1610612757,POR,29.0,67,,1594.0,183,394,0.464,4.0,7.0,0.571,197,252,0.782,52,104,156,273,77,1,131.0,149,567
