,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203540,2013-14,00,1610612765,DET,26.0,34,0,238.0,34,97,0.351,7,39,0.179,8,10,0.8,14,32,46,11,6,1,11,20,83
1,203540,2014-15,00,1610612765,DET,27.0,3,0,17.0,5,12,0.417,1,4,0.25,0,0,0.0,1,3,4,2,1,0,2,1,11
2,203540,2014-15,00,1610612738,BOS,27.0,18,1,192.0,38,77,0.494,17,36,0.472,1,1,1.0,2,23,25,7,1,7,7,14,94
3,203540,2014-15,00,0,TOT,27.0,21,1,209.0,43,89,0.483,18,40,0.45,1,1,1.0,3,26,29,9,2,7,9,15,105
