,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,76752,1988-89,00,1610612754,IND,24.0,46,0,313.0,63,125,0.504,2,5,0.4,24,34,0.706,26,26,52,20,14,6,34,59,152
1,76752,1990-91,00,1610612758,SAC,26.0,35,3,475.0,67,168,0.399,0,0,0.0,43,60,0.717,36,48,84,44,22,13,40,50,177
2,76752,1991-92,00,1610612766,CHH,27.0,66,26,852.0,161,370,0.435,4,17,0.235,63,92,0.685,75,69,144,71,40,26,58,91,389
