,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,101154,2005-06,00,1610612764,WAS,19.0,29,0,175.0,26,67,0.388,3,13,0.231,10,12,0.833,12,26,38,10,5,7,12,36,65
1,101154,2006-07,00,1610612764,WAS,20.0,56,13,682.0,86,197,0.437,4,27,0.148,30,49,0.612,77,114,191,39,17,32,49,94,206
2,101154,2007-08,00,1610612764,WAS,21.0,82,15,1675.0,254,536,0.474,3,13,0.231,107,154,0.695,164,261,425,92,53,114,112,258,618
3,101154,2008-09,00,1610612764,WAS,22.0,71,36,1703.0,297,630,0.471,5,21,0.238,114,162,0.704,126,252,378,118,53,74,117,211,713
4,101154,2009-10,00,1610612764,WAS,23.0,81,36,2256.0,478,999,0.478,13,44,0.295,174,234,0.744,158,351,509,170,85,71,182,218,1143
5,101154,2010-11,00,1610612764,WAS,24.0,64,63,2172.0,426,957,0.445,4,18,0.222,220,283,0.777,183,343,526,144,98,51,172,182,1076
6,101154,2011-12,00,1610612764,WAS,25.0,26,13,626.0,93,245,0.38,2,7,0.286,33,49,0.673,42,108,150,28,20,17,37,54,221
7,101154,2012-13,00,1610612751,BKN,26.0,82,8,1555.0,346,676,0.512,3,22,0.136,148,216,0.685,161,256,417,85,86,54,123,163,843
8,101154,2013-14,00,1610612751,BKN,27.0,73,7,1618.0,321,674,0.476,15,54,0.278,164,221,0.742,120,270,390,112,75,38,110,166,821
