,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,239,1994-95,00,1610612750,MIN,24.0,34,9,803.0,95,233,0.408,7,38,0.184,57,65,0.877,14,50,64,133,34,0,62,88,254
1,239,1995-96,00,1610612763,VAN,25.0,24,0,402.0,59,131,0.45,5,22,0.227,38,46,0.826,13,25,38,61,27,1,37,47,161
2,239,1995-96,00,1610612750,MIN,25.0,35,16,747.0,88,231,0.381,15,47,0.319,63,74,0.851,3,41,44,156,26,2,70,76,254
3,239,1995-96,00,0,TOT,25.0,59,16,1149.0,147,362,0.406,20,69,0.29,101,120,0.842,16,66,82,217,53,3,107,123,415
4,239,1996-97,00,1610612746,LAC,26.0,82,64,1820.0,292,718,0.407,91,234,0.389,218,250,0.872,26,87,113,339,57,2,127,165,893
5,239,1997-98,00,1610612746,LAC,27.0,82,63,2299.0,275,730,0.377,107,293,0.365,184,217,0.848,19,145,164,331,82,10,154,198,841
6,239,1998-99,00,1610612746,LAC,28.0,37,25,941.0,102,278,0.367,31,106,0.292,61,76,0.803,5,43,48,144,43,4,67,82,296
7,239,1999-00,00,1610612758,SAC,29.0,71,1,893.0,133,350,0.38,38,124,0.306,98,119,0.824,7,37,44,122,28,2,62,89,402
8,239,2000-01,00,1610612758,SAC,30.0,31,0,175.0,29,76,0.382,14,27,0.519,31,35,0.886,2,14,16,14,7,0,10,27,103
9,239,2001-02,00,1610612742,DAL,31.0,3,0,22.0,0,10,0.0,0,2,0.0,1,2,0.5,0,1,1,3,2,0,1,4,1
10,239,2003-04,00,1610612750,MIN,33.0,16,0,172.0,20,67,0.299,6,26,0.231,9,9,1.0,2,5,7,23,2,1,7,23,55
11,239,2004-05,00,1610612746,LAC,34.0,11,0,190.0,16,50,0.32,5,18,0.278,5,8,0.625,3,7,10,28,6,0,6,19,42
12,239,2005-06,00,1610612761,TOR,35.0,40,0,339.0,34,97,0.351,16,40,0.4,18,24,0.75,2,18,20,57,17,0,15,42,102
13,239,2006-07,00,1610612761,TOR,36.0,31,0,220.0,33,94,0.351,13,37,0.351,15,21,0.714,2,10,12,43,3,0,12,22,94
14,239,2007-08,00,1610612761,TOR,37.0,17,0,141.0,10,43,0.233,2,16,0.125,5,6,0.833,3,4,7,21,6,0,1,12,27
