,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,78423,1981-82,00,1610612760,SEA,23.0,77,1,1075.0,143,262,0.546,0,1,0.0,89,148,0.601,71,127,198,56,28,22,68,150,375
1,78423,1982-83,00,1610612760,SEA,24.0,82,73,2054.0,226,429,0.527,0,1,0.0,115,209,0.55,177,248,425,120,53,49,102,254,567
2,78423,1983-84,00,1610612760,SEA,25.0,80,72,2174.0,258,495,0.521,0,1,0.0,153,236,0.648,150,245,395,132,51,54,121,263,669
3,78423,1984-85,00,1610612760,SEA,26.0,76,70,2163.0,186,402,0.463,1,4,0.25,67,127,0.528,154,282,436,152,76,57,119,256,440
4,78423,1985-86,00,1610612760,SEA,27.0,80,19,1569.0,131,284,0.461,0,4,0.0,39,75,0.52,115,166,281,68,63,31,58,218,301
5,78423,1986-87,00,1610612755,PHL,28.0,58,6,817.0,59,138,0.428,1,5,0.2,21,45,0.467,51,95,146,30,35,25,26,127,140
6,78423,1987-88,00,1610612755,PHL,29.0,57,5,772.0,53,121,0.438,0,3,0.0,15,35,0.429,45,72,117,36,27,33,25,100,121
