,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,a_lbl
822,0.41666666666666663,0.037037037037037035,0.012195121951219513,0.026583524778470626,0.01866977829638273,0.014425553838227719,0.5710000000000001,0.0,0.0,0.0,0.01856763925729443,0.02043132803632236,0.778,0.02127659574468085,0.01061320754716981,0.014434643143544507,0.0033076074972436605,0.005649717514124294,0.014018691588785045,0.008620689655172414,0.0547945205479452,0.016323633782824698,0
823,0.41666666666666663,0.06172839506172839,0.012195121951219513,0.030193633081719726,0.01866977829638273,0.015455950540958269,0.5329999999999999,0.0,0.0009727626459143969,0.0,0.01856763925729443,0.02043132803632236,0.778,0.026004728132387706,0.015330188679245283,0.019246190858059342,0.004410143329658214,0.005649717514124294,0.014018691588785045,0.008620689655172414,0.0684931506849315,0.016323633782824698,0
824,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
825,0.125,0.14814814814814814,0.03658536585365854,0.04791598293403347,0.029171528588098013,0.024214322514167955,0.532,0.0,0.0029182879377431907,0.0,0.005305039787798408,0.01362088535754824,0.33299999999999996,0.035460992907801414,0.03891509433962264,0.038492381716118684,0.005512679162072768,0.05084745762711865,0.037383177570093455,0.01939655172413793,0.07876712328767123,0.0191625266146203,0
826,0.125,0.16049382716049382,0.03658536585365854,0.04824417459796521,0.029171528588098013,0.024214322514167955,0.532,0.0,0.0029182879377431907,0.0,0.005305039787798408,0.01362088535754824,0.33299999999999996,0.035460992907801414,0.03891509433962264,0.038492381716118684,0.005512679162072768,0.05084745762711865,0.037383177570093455,0.01939655172413793,0.07876712328767123,0.0191625266146203,0
827,0.125,0.9753086419753085,0.975609756097561,0.9333770922218575,0.7654609101516919,0.648634724368882,0.521,0.12962962962962962,0.17509727626459143,0.272,0.6246684350132625,0.6946651532349603,0.77,0.33569739952718675,0.6580188679245282,0.5613472333600642,0.47850055126791624,0.7401129943502824,0.7056074766355139,0.5043103448275862,0.8424657534246575,0.6501064584811923,0
828,0.16666666666666663,0.9135802469135801,0.9146341463414634,0.904168034131933,0.865810968494749,0.7223080886141164,0.529,0.11375661375661375,0.13618677042801558,0.307,0.6458885941644562,0.7275822928490352,0.76,0.36879432624113473,0.7040094339622641,0.6038492381716118,0.3980154355016538,0.615819209039548,0.49532710280373826,0.48060344827586204,0.7910958904109588,0.7146912704045423,0
829,0.20833333333333337,0.8765432098765431,0.8780487804878049,0.773547751887102,0.8413068844807468,0.6424523441524987,0.578,0.13756613756613756,0.19747081712062256,0.256,0.6631299734748011,0.778660612939841,0.7290000000000001,0.375886524822695,0.8714622641509434,0.7201283079390537,0.46747519294377066,0.519774011299435,0.514018691588785,0.5775862068965517,0.7945205479452054,0.7075940383250533,0
830,0.2499999999999999,0.691358024691358,0.6951219512195123,0.578273711847719,0.7269544924154026,0.5868109222050489,0.547,0.21957671957671956,0.26361867704280156,0.306,0.4787798408488063,0.6469920544835415,0.633,0.3073286052009456,0.7700471698113207,0.627906976744186,0.3627342888643881,0.3333333333333333,0.27102803738317754,0.4504310344827586,0.5924657534246575,0.5997161107168205,0
831,0.41666666666666663,0.13580246913580246,0.0,0.054479816212668196,0.014002333722287047,0.024214322514167955,0.255,0.026455026455026454,0.033073929961089495,0.294,0.0,0.0,0.0,0.004728132387706856,0.008254716981132075,0.007217321571772253,0.011025358324145536,0.005649717514124294,0.0,0.004310344827586207,0.023972602739726026,0.0120652945351313,0
832,0.16666666666666663,0.8271604938271604,0.07317073170731708,0.3459140137840499,0.15635939323220535,0.175682637815559,0.39299999999999996,0.24867724867724866,0.24027237354085604,0.381,0.05835543766578249,0.05561861520998865,0.898,0.0425531914893617,0.08018867924528301,0.06896551724137931,0.04410143329658214,0.20903954802259886,0.037383177570093455,0.07112068965517242,0.3904109589041096,0.1440738112136267,0
833,0.20833333333333337,0.9135802469135801,0.0975609756097561,0.37184115523465705,0.13418903150525086,0.14992272024729522,0.395,0.2222222222222222,0.21498054474708173,0.38,0.05172413793103448,0.05221339387060159,0.848,0.061465721040189124,0.10377358490566037,0.09141940657578188,0.030871003307607496,0.21468926553672316,0.037383177570093455,0.05387931034482758,0.4246575342465753,0.12526614620298085,0
834,0.2499999999999999,0.37037037037037035,0.024390243902439025,0.19264850672792908,0.06534422403733955,0.08088614116434828,0.35700000000000004,0.10846560846560846,0.12354085603112841,0.32299999999999995,0.015915119363395226,0.014755959137343927,0.9229999999999999,0.01182033096926714,0.050707547169811316,0.038492381716118684,0.02205071664829107,0.096045197740113,0.02803738317757009,0.030172413793103446,0.1815068493150685,0.05855216465578424,0
835,0.20833333333333337,0.1728395061728395,0.0,0.05677715786019035,0.01750291715285881,0.02627511591962906,0.294,0.005291005291005291,0.01556420233463035,0.125,0.009283819628647215,0.011350737797956867,0.7,0.009456264775413711,0.031839622641509434,0.024859663191659984,0.008820286659316428,0.022598870056497175,0.004672897196261682,0.01293103448275862,0.03767123287671233,0.01383960255500355,0
836,0.2499999999999999,0.18518518518518517,0.0,0.03216278306531014,0.014002333722287047,0.014940752189592994,0.414,0.007936507936507936,0.007782101167315175,0.375,0.003978779840848806,0.009080590238365494,0.375,0.014184397163120567,0.012971698113207546,0.0136327185244587,0.004410143329658214,0.02824858757062147,0.004672897196261682,0.004310344827586207,0.030821917808219176,0.0106458481192335,0
837,0.5833333333333334,0.9753086419753085,0.13414634146341464,0.5575976370200196,0.2578763127187864,0.26481195260175167,0.43,0.12169312169312169,0.14007782101167315,0.319,0.0663129973474801,0.07264472190692395,0.7809999999999999,0.07801418439716312,0.21816037735849056,0.1748195669607057,0.21058434399117973,0.3728813559322034,0.102803738317757,0.1788793103448276,0.4280821917808219,0.19091554293825408,0
838,0.6249999999999999,1.0,0.024390243902439025,0.44765342960288806,0.2613768961493582,0.28438948995363217,0.406,0.21428571428571427,0.2237354085603113,0.35200000000000004,0.04774535809018567,0.049943246311010214,0.818,0.0591016548463357,0.1544811320754717,0.12510024057738572,0.22381477398015437,0.2768361581920904,0.07476635514018691,0.16379310344827586,0.3116438356164383,0.20049680624556424,0
