,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,SEASON_ID
0,1610612747,2005,00,Smush Parker,1,G,6-4,180,"JUN 01, 1981",25.0,2,Fordham,2470,2005-06
1,1610612747,2005,00,Aaron McKie,2,G,6-5,209,"OCT 02, 1972",33.0,11,Temple,243,2005-06
2,1610612747,2005,00,Devean George,3,F,6-8,235,"AUG 29, 1977",28.0,6,Augsburg,1904,2005-06
3,1610612747,2005,00,Luke Walton,4,F,6-8,232,"MAR 28, 1980",26.0,2,Arizona,2575,2005-06
4,1610612747,2005,00,Lamar Odom,7,F,6-10,230,"NOV 06, 1979",26.0,6,Rhode Island,1885,2005-06
5,1610612747,2005,00,Kobe Bryant,8,G,6-6,220,"AUG 23, 1978",27.0,9,Lower Merion,977,2005-06
6,1610612747,2005,00,Andrew Bynum,17,C,7-0,275,"OCT 27, 1987",18.0,R,Saint Joseph,101115,2005-06
7,1610612747,2005,00,Sasha Vujacic,18,G,6-7,195,"MAR 08, 1984",22.0,1,,2756,2005-06
8,1610612747,2005,00,Ronny Turiaf,21,F,6-10,249,"JAN 13, 1983",23.0,R,Gonzaga,101142,2005-06
9,1610612747,2005,00,Jim Jackson,24,F-G,6-6,220,"OCT 14, 1970",35.0,13,Ohio State,754,2005-06
10,1610612747,2005,00,Chris Mihm,31,C,7-0,265,"JUL 16, 1979",26.0,5,Texas,2036,2005-06
11,1610612747,2005,00,Brian Cook,43,F,6-9,258,"DEC 04, 1980",25.0,2,Illinois,2567,2005-06
12,1610612747,2005,00,Kwame Brown,54,F-C,6-11,248,"MAR 10, 1982",24.0,4,Glynn Academy,2198,2005-06
