,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,SEASON_ID
0,1610612747,2011,00,Andrew Goudelock,0,G,6-3,200,"DEC 07, 1988",23.0,R,College of Charleston,202726,2011-12
1,1610612747,2011,00,Darius Morris,1,G,6-4,190,"JAN 03, 1991",21.0,R,Michigan,202721,2011-12
2,1610612747,2011,00,Devin Ebanks,3,F,6-9,215,"OCT 28, 1989",22.0,1,West Virginia,202365,2011-12
3,1610612747,2011,00,Steve Blake,5,G,6-3,172,"FEB 26, 1980",32.0,8,Maryland,2581,2011-12
4,1610612747,2011,00,Josh McRoberts,6,F,6-10,240,"FEB 28, 1987",25.0,4,Duke,201177,2011-12
5,1610612747,2011,00,Ramon Sessions,7,G,6-3,190,"APR 11, 1986",26.0,4,Nevada-Reno,201196,2011-12
6,1610612747,2011,00,Matt Barnes,9,F,6-7,226,"MAR 09, 1980",32.0,8,UCLA,2440,2011-12
7,1610612747,2011,00,Troy Murphy,14,F-C,6-11,245,"MAY 02, 1980",32.0,10,Notre Dame,2211,2011-12
8,1610612747,2011,00,Metta World Peace,15,F,6-7,260,"NOV 13, 1979",32.0,12,St. John's (NY),1897,2011-12
9,1610612747,2011,00,Pau Gasol,16,F-C,7-0,250,"JUL 06, 1980",31.0,10, ,2200,2011-12
10,1610612747,2011,00,Andrew Bynum,17,C,7-0,285,"OCT 27, 1987",24.0,6,Saint Joseph,101115,2011-12
11,1610612747,2011,00,Kobe Bryant,24,G,6-6,205,"AUG 23, 1978",33.0,15,Lower Merion,977,2011-12
12,1610612747,2011,00,Jordan Hill,27,C,6-10,235,"JUL 27, 1987",24.0,2,Arizona,201941,2011-12
13,1610612747,2011,00,Christian Eyenga,88,F,6-7,210,"JUN 22, 1989",23.0,1,,201963,2011-12
