,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,SEASON_ID
0,1610612747,1981,00,Kareem Abdul-Jabbar,33,C,7-2,225,"APR 16, 1947",35.0,12,California-Los Angeles,76003,1981-82
1,1610612747,1981,00,Jim Brewer,8,F,6-9,210,"DEC 03, 1951",30.0,8,Minnesota,76248,1981-82
2,1610612747,1981,00,Michael Cooper,21,G,6-7,170,"APR 15, 1956",26.0,3,New Mexico,76444,1981-82
3,1610612747,1981,00,Magic Johnson,32,G,6-9,215,"AUG 14, 1959",22.0,2,Michigan State,77142,1981-82
4,1610612747,1981,00,Clay Johnson,34,G,6-4,175,"JUL 18, 1956",25.0,R,Missouri,77135,1981-82
5,1610612747,1981,00,Eddie Jordan,5,G,6-1,170,"JAN 29, 1955",27.0,4,Rutgers,77205,1981-82
6,1610612747,1981,00,Mitch Kupchak,41,F,6-9,230,"MAY 24, 1954",28.0,5,North Carolina,77324,1981-82
7,1610612747,1981,00,Mark Landsberger,54,F,6-8,215,"MAY 21, 1955",27.0,4,Arizona State,77334,1981-82
8,1610612747,1981,00,Bob McAdoo,11,C,6-9,210,"SEP 15, 1951",30.0,9,North Carolina,77498,1981-82
9,1610612747,1981,00,Mike McGee,40,F,6-5,190,"JUL 29, 1959",22.0,R,Michigan,77530,1981-82
10,1610612747,1981,00,Kevin McKenna,30,F,6-5,195,"JAN 08, 1959",23.0,R,Creighton,77541,1981-82
11,1610612747,1981,00,Norm Nixon,10,G,6-2,170,"OCT 11, 1955",26.0,4,Duquesne,77721,1981-82
12,1610612747,1981,00,Kurt Rambis,31,F,6-8,213,"FEB 25, 1958",24.0,R,Santa Clara,77905,1981-82
13,1610612747,1981,00,Jamaal Wilkes,52,F,6-6,190,"MAY 02, 1953",29.0,7,California-Los Angeles,78532,1981-82
