,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,SEASON_ID
0,1610612747,1991,00,Chucky Brown,6,F,6-7,214,"FEB 29, 1968",24.0,2,North Carolina State,359,1991-92
1,1610612747,1991,00,Demetrius Calip,7,G,6-1,165,"NOV 18, 1969",22.0,R,Michigan,76332,1991-92
2,1610612747,1991,00,Elden Campbell,41,F-C,7-0,279,"JUL 23, 1968",23.0,1,Clemson,922,1991-92
3,1610612747,1991,00,Vlade Divac,12,C,7-1,260,"FEB 03, 1968",24.0,2,,124,1991-92
4,1610612747,1991,00,A.C. Green,45,F,6-9,220,"OCT 04, 1963",28.0,6,Oregon State,920,1991-92
5,1610612747,1991,00,Jack Haley,54,F,6-10,240,"JAN 27, 1964",28.0,3,California-Los Angeles,917,1991-92
6,1610612747,1991,00,Keith Owens,25,F,6-7,225,"MAY 31, 1969",23.0,R,UCLA,77785,1991-92
7,1610612747,1991,00,Sam Perkins,14,F,6-9,235,"JUN 14, 1961",31.0,7,North Carolina,64,1991-92
8,1610612747,1991,00,Cliff T. Robinson,43,F,6-9,220,"MAR 13, 1960",32.0,10,Southern California,77986,1991-92
9,1610612747,1991,00,Byron Scott,4,G,6-3,195,"MAR 28, 1961",31.0,8,Arizona State,2,1991-92
10,1610612747,1991,00,Tony Smith,34,G,6-3,185,"JUN 14, 1968",24.0,1,Marquette,380,1991-92
11,1610612747,1991,00,Rory Sparrow,2,G,6-2,175,"JUN 12, 1958",34.0,11,Villanova,600009,1991-92
12,1610612747,1991,00,Terry Teagle,20,G,6-5,195,"APR 10, 1960",32.0,9,Baylor,78304,1991-92
13,1610612747,1991,00,Sedale Threatt,3,G,6-2,175,"SEP 10, 1961",30.0,8,West Virginia Tech,9,1991-92
14,1610612747,1991,00,James Worthy,42,F,6-9,225,"FEB 27, 1961",31.0,9,North Carolina,1460,1991-92
