,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,SEASON_ID
0,1610612747,1988,00,Kareem Abdul-Jabbar,33,C,7-2,225,"APR 16, 1947",42.0,19,California-Los Angeles,76003,1988-89
1,1610612747,1988,00,Tony Campbell,19,F,6-7,215,"MAY 07, 1962",27.0,4,Ohio State,76338,1988-89
2,1610612747,1988,00,Michael Cooper,21,G,6-7,170,"APR 15, 1956",33.0,10,New Mexico,76444,1988-89
3,1610612747,1988,00,A.C. Green,45,F,6-9,220,"OCT 04, 1963",25.0,3,Oregon State,920,1988-89
4,1610612747,1988,00,Magic Johnson,32,G,6-9,215,"AUG 14, 1959",29.0,9,Michigan State,77142,1988-89
5,1610612747,1988,00,Jeff Lamp,3,G,6-6,195,"MAR 09, 1959",30.0,5,Virginia,77332,1988-89
6,1610612747,1988,00,Mark McNamara,31,C,6-11,235,"JUN 08, 1959",30.0,5,California,77558,1988-89
7,1610612747,1988,00,David Rivers,14,G,6-0,170,"JAN 20, 1965",24.0,R,Notre Dame,77970,1988-89
8,1610612747,1988,00,Byron Scott,4,G,6-3,195,"MAR 28, 1961",28.0,5,Arizona State,2,1988-89
9,1610612747,1988,00,Mychal Thompson,43,C,6-10,226,"JAN 30, 1955",34.0,9,Minnesota,78331,1988-89
10,1610612747,1988,00,Orlando Woolridge,0,F,6-9,215,"DEC 16, 1959",29.0,7,Notre Dame,78615,1988-89
11,1610612747,1988,00,James Worthy,42,F,6-9,225,"FEB 27, 1961",28.0,6,North Carolina,1460,1988-89
